"Bicluster","Genes"
"M2-Cytoskeleton","ABCC5, ABCD2, ABITRAM, ADORA2B, AHSA1, ALDH1A1, ALDH1L1, ALDH3A1, ALDH3B1, ALMS1, AMPD3, AP1M2, ARHGAP32, ATP12A, ATP2A2, ATP7B, ATP9A, B3GNT3, B4GALT4, B9D1, BAIAP3, BBS4, BBS9, BCAS1, BCAS3, BMPR1B, BPHL, C17orf75, C6, CCDC181, CCNO, CCP110, CDC14A, CDC14B, CDS1, CELSR1, CELSR2, CEP83, CERS6, CFAP20, CIB1, CLGN, CLMN, CLUAP1, CNTRL, CORO2B, CXCL6, CYP24A1, CYP2J2, DAPP1, DLEC1, DNAAF11, DNAH3, DNAH7, DNAH9, DNAI1, DNAJC10, DOC2A, DSP, DYNC2H1, DYNC2I1, DYNC2LI1, DYNLL1, DYNLT1, DZANK1, DZIP3, EFCAB2, EFHC1, EFNB3, EPB41L4B, EPHX2, ERBB2, ERBB4, FABP6, FAIM, FAM149A, FAM172A, FBXL2, FHOD3, FOXA1, FZD3, GALNS, GALNT3, GCLC, GET1, GNA14, GRAMD1C, GSTP1, H2BC5, HOOK1, HSP90AA1, HYDIN, IFT122, IFT140, IFT22, IFT56, IFT88, IGFBP2, IK, IL20RA, IL7, KATNIP, KCNN3, KIAA0319, KLF5, LGR4, LPAR3, LRBA, LRIG1, LRRC23, LTF, LZTFL1, MAK, MAP1A, MAPRE3, MATCAP2, MDM1, MIPEP, MOK, MORN1, MYB, NBEA, NEK1, NEK11, NEK2, NELL2, NET1, NME7, NUCB2, OSBPL3, P4HTM, PACRG, PASK, PCNX4, PHTF1, PIAS3, PIGR, PITPNM1, PLAAT2, PLAC8, PLPP2, PLS1, PRSS12, PSD3, PTPRF, PTPRN2, PTPRZ1, PZP, RARB, RCAN3, REEP1, RFX2, RFX3, RIPK4, RUVBL1, RUVBL2, SCPEP1, SIDT1, SLC22A4, SLC27A2, SLC2A1, SLC4A4, SLC4A8, SLC6A16, SMPD2, SNCAIP, SORBS2, SPA17, SPACA9, SPAG1, SPAG6, SPEF1, SPTBN2, SRGAP3, SRI, SSBP2, ST14, STAG3, STEAP3, STYK1, TASP1, TAX1BP1, TEKT2, TP53BP1, TP63, TP73, TPPP3, TRIM2, TRIM29, TRIM68, TRPV4, TSPAN1, TSPAN8, TSPYL4, TUBB4B, UFC1, USP2, USP21, VILL, WRAP53, XPNPEP3, ZDHHC13, ZMYND10, ZNF214"
"M3-AT1 Cells","AASS, AATK, ABCA3, ABCC8, ABHD6, ABLIM1, ACAT1, ACVRL1, ADARB1, ADGRL2, ADH1A, AGER, AGTPBP1, AGTR1, AJAP1, AKT3, ALDH1L1, ALDH6A1, AMOTL2, ANGPT1, ANKRA2, ANKS1A, ANXA3, AOC3, APC, APH1A, APLNR, APOL3, AQP4, ARHGAP44, ARHGEF12, ARHGEF17, ARPP19, ARRB1, ASAP2, ATP1A1, B3GALNT1, B3GNT2, BCAT2, BFAR, BMP6, BTN3A1, C1orf21, C21orf91, CA2, CA4, CACNA1D, CACNA2D2, CACNA2D3, CACNG4, CALCOCO1, CALCOCO2, CAMK2N1, CARMIL1, CAT, CAV2, CAVIN2, CCDC68, CCN5, CCNB1IP1, CCND3, CD247, CD36, CD55, CD93, CDC42BPA, CDH19, CDO1, CERS2, CETP, CFLAR, CHPT1, CHST1, CITED2, CLEC4M, CLIC5, CMKLR1, CNNM4, CNOT8, COLGALT2, COX7A1, CPT1A, CRIM1, CRMP1, CRTAC1, CRYAB, CST6, CTH, CTNNAL1, CTNNBIP1, CX3CR1, CXADR, CYP26B1, CYP3A5, CYP4B1, DAPK2, DCHS1, DDX60, DENND3, DHCR24, DLC1, DMPK, DNM2, DNM3, DNPEP, DOCK4, DOCK9, DPEP2, DST, DUOX1, DUSP7, EDIL3, EDN1, EDNRA, EDNRB, EFNA1, EGFL7, EGFR, ELMO1, ELOA, EML1, EMP2, ENG, ENTREP1, EPAS1, EPB41L2, EPB41L5, EPHB4, ERG, ERMP1, ETV1, ETV5, EXPH5, EZH1, F10, FADS3, FANCC, FAXDC2, FBLN5, FBXL4, FCHSD2, FEZ1, FGFR4, FHOD1, FLI1, FMO5, FOXO3, FRAS1, FRMD4A, FRY, FYN, FZD4, FZD5, GAB1, GAB2, GAL3ST1, GARRE1, GAS6, GCNT2, GFOD1, GHR, GIMAP4, GJA4, GLO1, GNLY, GPD1L, GPM6A, GRIA1, GSE1, GSTA4, GUCY1A2, GYPE, HEY1, HHEX, HIP1, HLX, HMGCS1, HOPX, HPCAL1, HPGD, HPS5, HSD11B2, HSD17B6, HSPA2, HYAL2, IFIT1, IL18R1, IL33, INPP5A, ITPKB, ITPRID2, JUP, KAT6B, KCNA4, KCNJ8, KCNS3, KDR, KLF11, KLF13, KLF2, KLRD1, LAMA3, LAMA5, LANCL1, LGR5, LHFPL6, LIFR, LLGL2, LMAN2L, LPIN2, LRCH1, LRRC1, LRRC32, LRRC36, LRRN3, MAL, MAPRE2, MATN3, MBIP, MCCC1, MFAP4, MFNG, MGLL, MINDY2, MKNK2, MME, MMUT, MOCS1, MPP3, MTSS1, MVB12B, MXD4, MYCT1, MYO5C, MYO9A, MYRF, NCALD, NCOA3, NDRG1, NDRG4, NEBL, NEDD4, NEDD4L, NEDD9, NEK7, NETO2, NHERF2, NINJ2, NOS1, NOTCH4, NPR1, NPR3, NR3C2, NRGN, NRN1, NRP1, OLFML2A, OSGIN2, P3H2, PAFAH1B1, PAPSS2, PARD3, PATJ, PCDH1, PCDH12, PCTP, PDCL, PDE1C, PDE8B, PDGFB, PDGFRA, PDK2, PDK4, PDZD2, PGAP2, PGC, PGM1, PGR, PHACTR2, PHLDB1, PIK3C2B, PIK3IP1, PIK3R1, PIP5K1B, PKIA, PKN1, PLA1A, PLA2G4C, PLAAT3, PLAG1, PLCE1, PLEKHA1, PLLP, PLXNA2, PLXND1, PMM1, PNMT, PON2, PPFIBP1, PPL, PPP2R5A, PRDX6, PRKAR2B, PRKCZ, PRKD1, PRX, PTGDR, PTH1R, PTPN12, PTPRB, PXMP4, QKI, RAB17, RALA, RAMP2, RAMP3, RAPGEF4, RASSF8, RBMS2, RBMS3, RECK, RFC1, RGS9, RIDA, RIN2, RMND5A, RNF144A, ROBO4, ROR1, RRAS, RUNX1T1, RUSC2, RXRG, S1PR1, SACM1L, SASH1, SCNN1A, SECISBP2L, SEMA3B, SEMA3E, SEMA3G, SENP7, SEPTIN4, SGCG, SLC12A4, SLC1A1, SLC35A1, SLC39A8, SLCO2A1, SLCO4A1, SLIT2, SMPD1, SOX13, SPRED2, SPRY2, SPRYD7, SPTBN1, SREBF2, ST7, STARD13, STX12, STX3, STXBP6, SVEP1, SYNE1, SYT17, TACC1, TACC2, TAL1, TBC1D4, TBX2, TBX3, TBX5, TCF21, TEAD1, TEK, TGFBR3, THBD, TIE1, TIMP4, TJP2, TLE1, TMEM100, TMEM109, TMEM140, TMEM41B, TMEM50B, TMEM74B, TMEM87A, TMEM97, TMOD1, TMOD2, TMT1A, TNFSF10, TNNC1, TNS1, TNS2, TOR1AIP2, TPST2, TRAK2, TRIB2, TRIM24, TRIP10, TSPAN12, TSPAN13, TSPAN15, TSPAN9, TTN, TUFT1, UBA7, UNC13B, USP13, UXS1, VAMP5, VEGFA, VEGFC, VGLL3, VIPR1, VWF, WASF3, WFDC1, WFS1, WWC1, YES1, ZBTB16, ZFYVE9, ZHX3, ZKSCAN3, ZNF106, ZNF135, ZNF22, ZSCAN31, ZXDC"
"M4-Immune Cells","ABCC3, ABCG1, ACAA1, ACAP1, ACO1, ACOT13, ACOT7, ACP2, ACP5, ADA, ADAM17, ADAP2, ADCY7, ADGRE2, ADSL, ADTRP, AGA, AGPS, AIM2, AKR1A1, AKR1B1, ALAS1, ALOX5, ALOX5AP, ANPEP, AOAH, APBB1IP, APH1A, APMAP, APOL1, APOL2, APOL3, AQP9, ARAP1, ARHGAP25, ARHGDIB, ARHGEF1, ARL6IP5, ARRB2, ASF1B, ASPM, ATG3, ATG7, ATIC, ATP2C1, ATP6V0B, ATP6V0D1, ATP6V1B2, ATP6V1C1, ATP6V1E1, ATP6V1F, AURKA, AVPI1, BAX, BCL11B, BCL2A1, BHLHE41, BIN2, BLM, BLNK, BLVRA, BMP2K, BST1, BTN2A2, BTN3A1, BUB1, C1QB, C3AR1, CASP1, CASP4, CASP5, CAT, CCDC88A, CCL19, CCNA2, CCR1, CCRL2, CD163, CD247, CD300A, CD3E, CD4, CD47, CD48, CD52, CD6, CD83, CD84, CD8A, CEP55, CHST11, CIITA, CLCN7, CLEC2D, CLEC7A, CLIP4, CMKLR1, COMMD9, CORO1A, CORO1B, CORO1C, CPVL, CR1, CRLF3, CSF1R, CTSC, CTSL, CTSS, CXCL10, CXCL9, CYRIA, CYRIB, CYTH4, DAPP1, DCK, DCSTAMP, DENND5A, DIAPH1, DLGAP5, DNASE2, DOK2, DPEP2, DRAP1, DUSP10, ECHDC1, EDEM2, EIF4E2, ELOVL1, EML4, EPB41L3, ERO1A, ETHE1, EVI2B, FAR2, FBP1, FCER1G, FIG4, FLOT2, FMNL1, FUCA1, FUT7, FXYD5, GAA, GALE, GALNT12, GCHFR, GGA2, GLB1, GLRX, GLUL, GM2A, GMIP, GNA15, GNG5, GNPDA1, GPA33, GPNMB, GPR132, GPR137B, GPR171, GPR18, GPR65, GPSM3, GSAP, GSTO1, GUSB, GYG1, HERC5, HEXB, HK3, HLA-DMB, HLA-G, HMGCL, HMOX1, HNMT, HPS5, HSD17B14, HSD17B4, HTATIP2, IDH2, IFFO1, IFI35, IFI6, IL12RB1, IL17RA, IL18, IL21R, IL2RB, IL32, INPP5B, INPP5D, IRAK4, IRF1, ITGAE, ITGAL, ITGAM, ITGB2, ITGB7, ITPK1, JAK3, JPT1, KCNAB2, KIF11, KIFC1, KYNU, LACTB2, LAP3, LAPTM5, LASP1, LAT2, LCP1, LGALS3, LGALS3BP, LGALS9, LGMN, LHFPL2, LILRB2, LILRB5, LIMK1, LIPA, LPCAT1, LRP1, LSM6, LTA4H, LY6E, LY9, LY96, MAFB, MAN2B1, MANBA, MAP4K1, MAPK13, MAPK14, MAPKAPK3, MARCO, MCM5, MDH1, ME2, MEFV, MELK, MFNG, MGAT1, MGAT4A, MICAL1, MICB, MITF, MKI67, MLX, MMD, MR1, MREG, MRPS15, MS4A4A, MSR1, MTMR14, MX1, MYD88, MYO5A, NAAA, NAGA, NAPA, NCF2, NCKAP1L, NEU1, NFE2L3, NFYC, NOP10, NPC1, NPC2, NUP210, OAS1, OAS2, OASL, OSTF1, PADI2, PARP12, PCK2, PCMT1, PCOLCE2, PDCD1LG2, PDE1B, PEPD, PFKFB4, PGD, PIK3CD, PLA2G7, PLAAT4, PLCL2, PLD3, PLEKHB2, PLIN2, PLK1, PLOD3, PLXNC1, PNPLA6, POP4, PPARG, PPT1, PRIM1, PRKAG1, PRKCD, PRSS21, PSD4, PSMA4, PSMA5, PSMB8, PSTPIP2, PTAFR, PTGER2, PTGER4, PTPN22, PTPN6, PTPRC, PTPRO, PXMP4, PYCARD, PYGL, RAB20, RAB32, RAD51AP1, RBP4, RFX5, RMC1, RMDN3, RNFT1, RNH1, RPS6KA1, RRAGC, RRAGD, RRM2, SCCPDH, SCP2, SCPEP1, SDHB, SECTM1, SELPLG, SEMA4A, SEMA4D, SERPINA1, SHTN1, SIGLEC7, SIRPG, SKAP1, SLA, SLAMF7, SLAMF8, SLC16A3, SLC16A6, SLC25A20, SLC31A2, SLC47A1, SLC50A1, SLC7A7, SLC9A1, SLCO2B1, SNX10, SP110, SP140, SP140L, ST3GAL6, STAC, STAT1, SYK, TAPBP, TBC1D31, TBXAS1, TGFBI, THEMIS2, TKT, TLR1, TLR4, TMEM104, TMEM140, TNF, TNFAIP2, TNFRSF1B, TPK1, TPP1, TPX2, TRAF1, TREM1, TREM2, TRIM14, TRIM21, TRPM2, TRPV2, UBA7, UTP18, VAMP8, VASH1, VASP, VAT1, VAV1, VPS26C, VPS37C, VPS8, WARS1, WIPF1, XRCC4, ZCCHC2, ZNF589"
"M5-Immune Cells","ABCE1, ABCF2, ADA, ADAM17, ADAM19, ADAM8, ADAMTS1, ADAMTS3, ADGRE2, ADGRE3, ADGRG1, ADM, AKAP12, AMD1, AMPD2, ANK2, ANXA1, AP1AR, APOBEC3B, AQP9, ARC, ARFGAP3, ARG2, ARHGDIA, ARID5B, ARPC5L, ATF3, ATG101, ATP1B3, B4GALT5, BACH1, BAHD1, BAZ1A, BCL2A1, BCL2L1, BHLHE40, BIRC3, BTG3, BYSL, BZW2, CASP4, CASP5, CBLB, CCDC59, CCNH, CCNL1, CCR1, CCT2, CCT5, CD83, CD93, CDA, CDC37L1, CDC42EP4, CEACAM1, CEBPB, CFLAR, CH25H, CHD1, CHD7, CHIC2, CHSY1, CRY1, CSF3, CSRP2, CST7, CX3CL1, CXCL1, CXCL2, CXCL8, CYRIA, DACT1, DENND5A, DEPP1, DGKD, DIAPH1, DLC1, DNAJB1, DNAJB5, DPH2, DSE, DUSP2, DUSP4, DUSP5, DUSP7, DYRK3, E2F3, EIF1B, EIF2S2, EIF3B, EML4, EPHA2, ETF1, FAM135A, FAS, FES, FFAR2, FGA, FJX1, FKBP1A, FLOT1, FNDC4, FOSB, FST, FURIN, GABPB1, GADD45A, GARS1, GATA6, GCA, GEM, GJA1, GNA15, GNL2, GPR132, GPR183, HAL, HAT1, HIVEP1, HIVEP2, HMOX1, HSPA9, HSPB8, IER3, IL10, IL18R1, IL18RAP, IL1R1, IL1R2, IL1RAP, IL4R, IL6, IL6ST, IRAK3, IRF1, ITGA2, ITGA5, ITPKC, IVNS1ABP, JMJD1C, JOSD1, KCNK1, KDM6B, KLHL2, KPNA2, KPNA4, KRAS, LAMC2, LDLR, LIF, LILRB2, LIMK2, LRRC32, LRRC59, MAFF, MAFG, MAK16, MAP3K8, MAPK1IP1L, MAT2A, MGAM, MMP19, MPHOSPH6, MTMR6, MX2, MYC, NAB1, NAT10, NDRG1, NDUFAF4, NDUFS2, NFATC1, NFIL3, NFKB1, NNMT, NOL11, NOLC1, NOP2, NOP56, NPC1, NRIP1, NXT1, ODC1, OSGIN2, OSMR, OTUD4, PADI4, PAFAH1B1, PAK1IP1, PDE4B, PER2, PEX5, PFKFB3, PGM3, PHC2, PHLDA1, PHLDA2, PI3, PIM1, PISD, PLIN2, PLPP3, PLSCR1, POP1, PPIF, PPP1R10, PPRC1, PRDM1, PSME3, PSME4, PTGER2, PTGS2, PTPN12, PUM3, PUS7, PVR, RAB27A, RAPGEF4, RBM28, RCAN1, RELB, RGS16, RHOH, RIPK2, RIPOR2, RND1, RND3, RRAD, RRAGC, RRP12, RRP9, RRS1, RUNX1, S100A12, S100A8, S1PR1, SAMD4A, SAMSN1, SEC24A, SELE, SEMA4A, SEMA7A, SERPINB1, SERPINB8, SERPINB9, SERPINE1, SERTAD2, SGK1, SKIL, SLC16A3, SLC16A6, SLC19A2, SLC25A32, SLC25A44, SLC39A14, SLC3A2, SLC7A1, SLCO4A1, SOCS1, SOCS2, SOCS3, SOX17, SPRY2, SPSB1, SRF, SRSF7, SSH1, ST3GAL1, STAT4, STRAP, STX12, SYNJ2, TANK, TBK1, TEAD4, TES, TEX30, TFPI2, THBD, TIMM17A, TIPARP, TJP2, TLR4, TNFAIP2, TNFAIP3, TNFAIP6, TNFRSF10B, TNFRSF10C, TNFRSF11B, TNFRSF12A, TNFRSF1B, TNIP2, TOP1, TP53BP2, TRIB1, TRIP10, TUBB2A, UAP1, UGCG, USP10, USP15, UTP11, UTP18, UTP20, UTP3, VASP, VCPKMT, VDR, VEGFC, VNN2, WDR74, YBX3, YES1, YRDC, ZFAND5, ZFC3H1, ZNF267"
