"","Bicluster","Samples"
"1","M2-Cytoskeleton","GSM1149948, GSM1149952, GSM1149969, GSM1149977, GSM1149982, GSM1149984, GSM1149985, GSM1149997, GSM1150000, GSM1150007, GSM1150009, GSM1150014, GSM1150028, GSM1150031, GSM1150045, GSM1150054, GSM1150056, GSM1150058, GSM1150061, GSM1150073, GSM1150088, GSM1150121, GSM1150140, GSM1150142, GSM1150147, GSM1150149, GSM1150173, GSM1150191, GSM1150198, GSM1150199, GSM1150215, GSM1150226, GSM1150231, GSM1150241, GSM1150251, GSM1150264, GSM1150270, GSM1150273, GSM1150280, GSM1150286, GSM1150302, GSM1150307, GSM1150317, GSM1150347, GSM1150349, GSM1150356, GSM1150376, GSM1150382, GSM1150391, GSM1150412, GSM1150416, GSM1150432, GSM1150448, GSM1150460, GSM1150465, GSM1150476, GSM1150490, GSM1150520, GSM1150530, GSM1150534, GSM1150540, GSM1150541, GSM1150544, GSM1169972, GSM1169994, GSM1169998, GSM1267265, GSM1267266, GSM1267267, GSM1302036, GSM1302039, GSM1302053, GSM1302058, GSM1302061, GSM1302065, GSM1302067, GSM1888327, GSM2149862, GSM2213998, GSM2433106, GSM2433107, GSM2433109, GSM2433111, GSM2433112, GSM2433114, GSM2433132, GSM269765, GSM269782, GSM269783, GSM269784, GSM269786, GSM2700629, GSM2700635, GSM2978752, GSM2978753, GSM2978756, GSM2978762, GSM2978764, GSM2978767, GSM2978770, GSM2978775, GSM3541168, GSM373886, GSM373888, GSM37427, GSM379330, GSM379333, GSM379334, GSM379336, GSM3963621, GSM3963633, GSM3963656, GSM3963664, GSM3963681, GSM4560515, GSM4560520, GSM4560529, GSM4560560, GSM4560576, GSM4560577, GSM4560579, GSM4560580, GSM4560581, GSM4560583, GSM4560584, GSM4560585, GSM4560587, GSM4560612, GSM4560616, GSM4560618, GSM4560619, GSM4560629, GSM4560636, GSM4560644, GSM4560656, GSM4560659, GSM4560666, GSM4560678, GSM4560684, GSM4560697, GSM4560699, GSM4560724, GSM4560739, GSM4560747, GSM4560748, GSM4560750, GSM4560753, GSM4560765, GSM4560767, GSM4560769, GSM5060518, GSM5060528, GSM5060529, GSM5060551, GSM5266432, GSM5266435, GSM5266436, GSM5266438, GSM5266442, GSM5266443, GSM5266445, GSM5266448, GSM5266449, GSM5266467, GSM5333814, GSM5333820, GSM5333826, GSM5333834, GSM5333841, GSM5333844, GSM5333847, GSM5333848, GSM5333854, GSM5333862, GSM5333882, GSM5333884, GSM5333889, GSM5333890, GSM5333895, GSM5333897, GSM5333898, GSM5333906, GSM5333909, GSM5333919, GSM5333927, GSM5333933, GSM5333953, GSM5333957, GSM5333963, GSM5333966, GSM5333969, GSM5333972, GSM5333975, GSM5333978, GSM5333983, GSM5333987, GSM5333992, GSM5334001, GSM5334004, GSM5334008, GSM5334013, GSM5334021, GSM5334023, GSM5334031, GSM5334038, GSM5334042, GSM5334064, GSM5334067, GSM5334070, GSM5334078, GSM5334081, GSM5334085, GSM5334111, GSM5334114, GSM5334144, GSM5334145, GSM5334151, GSM5334154, GSM5334157, GSM5334164, GSM5334166, GSM5334169, GSM5334178, GSM5334182, GSM5334184, GSM5334225, GSM533893, GSM533897, GSM5583942, GSM5583978, GSM5584002, GSM595421, GSM595428, GSM5965334, GSM5965337, GSM5965344, GSM5965345, GSM5965348, GSM5965352, GSM5965359, GSM5994477, GSM5994483, GSM5994485, GSM5994495, GSM6568323, GSM6568333, GSM6568342, GSM6568344, GSM6568346, GSM6568352, GSM6568422, GSM6568426, GSM6568447, GSM7296247, GSM7296254, GSM7296255, GSM7296258, GSM7296263, GSM7296265, GSM7296266, GSM7296280, GSM7296299, GSM7296303, GSM7296306, GSM806223, GSM806259, GSM806260, GSM806269, GSM806273, GSM806280, GSM806285, GSM806287, GSM806297, GSM806366, GSM806418, SRR393012"
"2","M3-AT1 Cells","GSM1149951, GSM1149955, GSM1149962, GSM1149964, GSM1149967, GSM1149971, GSM1149988, GSM1149989, GSM1149992, GSM1149998, GSM1149999, GSM1150001, GSM1150002, GSM1150023, GSM1150030, GSM1150031, GSM1150053, GSM1150055, GSM1150064, GSM1150075, GSM1150077, GSM1150079, GSM1150080, GSM1150093, GSM1150105, GSM1150107, GSM1150108, GSM1150113, GSM1150114, GSM1150116, GSM1150123, GSM1150124, GSM1150128, GSM1150131, GSM1150133, GSM1150135, GSM1150139, GSM1150143, GSM1150154, GSM1150156, GSM1150159, GSM1150160, GSM1150165, GSM1150171, GSM1150174, GSM1150176, GSM1150184, GSM1150201, GSM1150213, GSM1150218, GSM1150222, GSM1150223, GSM1150229, GSM1150236, GSM1150240, GSM1150254, GSM1150258, GSM1150259, GSM1150261, GSM1150268, GSM1150272, GSM1150274, GSM1150275, GSM1150308, GSM1150309, GSM1150312, GSM1150331, GSM1150334, GSM1150336, GSM1150339, GSM1150359, GSM1150364, GSM1150370, GSM1150373, GSM1150383, GSM1150394, GSM1150402, GSM1150403, GSM1150408, GSM1150413, GSM1150414, GSM1150437, GSM1150441, GSM1150444, GSM1150452, GSM1150457, GSM1150458, GSM1150473, GSM1150481, GSM1150482, GSM1150501, GSM1150509, GSM1150517, GSM1150527, GSM1150531, GSM1150546, GSM1169975, GSM1169978, GSM1169980, GSM1169981, GSM1267260, GSM1267262, GSM1302044, GSM1302054, GSM1302056, GSM1302057, GSM1302070, GSM1302072, GSM1302073, GSM1302075, GSM1854188, GSM1854189, GSM1888336, GSM1888338, GSM2149865, GSM2149866, GSM2214001, GSM2214002, GSM2214003, GSM2214004, GSM2433119, GSM2433121, GSM2433123, GSM2433127, GSM2433130, GSM2433131, GSM2433132, GSM2433134, GSM2433135, GSM2648740, GSM269752, GSM269753, GSM269755, GSM269759, GSM269760, GSM269761, GSM269763, GSM269772, GSM2700628, GSM2700633, GSM2700638, GSM2978789, GSM2978793, GSM2978798, GSM2978799, GSM3541118, GSM3541124, GSM3541136, GSM3541141, GSM373885, GSM37407, GSM37414, GSM379319, GSM379321, GSM3963614, GSM3963623, GSM3963624, GSM3963630, GSM3963637, GSM3963662, GSM3963674, GSM3963685, GSM3963686, GSM3963692, GSM4560588, GSM4560592, GSM4560593, GSM4560594, GSM4560595, GSM4560597, GSM4560598, GSM4560600, GSM4560601, GSM4560602, GSM4560604, GSM4560605, GSM4560607, GSM4560614, GSM4560620, GSM4560623, GSM4560624, GSM4560627, GSM4560628, GSM4560630, GSM4560631, GSM4560632, GSM4560638, GSM4560646, GSM4560648, GSM4560649, GSM4560667, GSM4560668, GSM4560675, GSM4560676, GSM4560677, GSM4560685, GSM4560687, GSM4560694, GSM4560695, GSM4560698, GSM4560701, GSM4560705, GSM4560708, GSM4560711, GSM4560716, GSM4560735, GSM4560740, GSM4560742, GSM4560774, GSM4560776, GSM4560777, GSM4560778, GSM4560782, GSM5060513, GSM5060537, GSM5060538, GSM5060539, GSM5060540, GSM5266456, GSM5266458, GSM5266463, GSM5333822, GSM5333827, GSM5333836, GSM5333837, GSM5333858, GSM5333859, GSM5333863, GSM5333867, GSM5333893, GSM5333900, GSM5333922, GSM5333929, GSM5333930, GSM5333931, GSM5333934, GSM5333936, GSM5333954, GSM5333958, GSM5333964, GSM5333967, GSM5333971, GSM5333979, GSM5333981, GSM5333982, GSM5333985, GSM5333989, GSM5333991, GSM5333994, GSM5333996, GSM5334005, GSM5334011, GSM5334012, GSM5334016, GSM5334022, GSM5334024, GSM5334026, GSM5334032, GSM5334034, GSM5334038, GSM5334043, GSM5334053, GSM5334055, GSM5334056, GSM5334057, GSM5334060, GSM5334061, GSM5334062, GSM5334074, GSM5334075, GSM5334079, GSM5334084, GSM5334087, GSM5334089, GSM5334101, GSM5334124, GSM5334130, GSM5334138, GSM5334140, GSM5334142, GSM5334167, GSM5334171, GSM5334173, GSM5334197, GSM5334198, GSM5334199, GSM5334200, GSM5334201, GSM5334203, GSM5334204, GSM5334206, GSM5334209, GSM5334210, GSM5334211, GSM5334212, GSM5334215, GSM5334217, GSM5334219, GSM5334226, GSM5334227, GSM5334229, GSM5334233, GSM533890, GSM533904, GSM5583926, GSM5583930, GSM595411, GSM595416, GSM5965339, GSM5965340, GSM5965351, GSM5965360, GSM5994499, GSM5994501, GSM5994509, GSM6568349, GSM6568353, GSM6568362, GSM6568375, GSM6568388, GSM6568414, GSM7296268, GSM7296270, GSM7296274, GSM7296277, GSM7296281, GSM7296285, GSM7296288, GSM806322, GSM806330, GSM806365, GSM806374, GSM806385, GSM806390, GSM806395, GSM806398, GSM806404, GSM806405, GSM806406, GSM806409, GSM806410, GSM806413, GSM806416, GSM806420, GSM862610, SRR393010, SRR393011"
"3","M4-Immune Cells","GSM1149954, GSM1149963, GSM1149973, GSM1149986, GSM1149989, GSM1149991, GSM1150003, GSM1150005, GSM1150013, GSM1150015, GSM1150019, GSM1150025, GSM1150033, GSM1150034, GSM1150038, GSM1150043, GSM1150047, GSM1150058, GSM1150062, GSM1150063, GSM1150065, GSM1150069, GSM1150070, GSM1150071, GSM1150085, GSM1150091, GSM1150101, GSM1150110, GSM1150117, GSM1150127, GSM1150134, GSM1150135, GSM1150157, GSM1150158, GSM1150166, GSM1150172, GSM1150175, GSM1150190, GSM1150193, GSM1150195, GSM1150202, GSM1150216, GSM1150219, GSM1150225, GSM1150230, GSM1150234, GSM1150239, GSM1150242, GSM1150267, GSM1150269, GSM1150271, GSM1150282, GSM1150283, GSM1150288, GSM1150289, GSM1150290, GSM1150291, GSM1150293, GSM1150295, GSM1150296, GSM1150298, GSM1150300, GSM1150305, GSM1150311, GSM1150318, GSM1150319, GSM1150338, GSM1150343, GSM1150344, GSM1150352, GSM1150353, GSM1150361, GSM1150362, GSM1150365, GSM1150369, GSM1150371, GSM1150374, GSM1150398, GSM1150405, GSM1150409, GSM1150420, GSM1150422, GSM1150428, GSM1150433, GSM1150443, GSM1150453, GSM1150454, GSM1150456, GSM1150459, GSM1150462, GSM1150472, GSM1150479, GSM1150491, GSM1150494, GSM1150505, GSM1150512, GSM1150514, GSM1150520, GSM1150521, GSM1150523, GSM1150525, GSM1150526, GSM1150547, GSM1169962, GSM1169964, GSM1169965, GSM1267263, GSM1302033, GSM1302043, GSM1302047, GSM1302050, GSM1302060, GSM1302071, GSM1888330, GSM1888332, GSM1888333, GSM2149853, GSM2149857, GSM2149859, GSM2149861, GSM2214000, GSM2433100, GSM2433113, GSM2433115, GSM2433122, GSM2433125, GSM2433136, GSM2648765, GSM269762, GSM269771, GSM269776, GSM269780, GSM2700634, GSM2700637, GSM2978776, GSM3541158, GSM3541168, GSM373883, GSM37404, GSM379324, GSM379326, GSM379328, GSM3963620, GSM3963645, GSM3963665, GSM3963676, GSM3963683, GSM3963689, GSM4560505, GSM4560506, GSM4560507, GSM4560508, GSM4560511, GSM4560512, GSM4560516, GSM4560521, GSM4560523, GSM4560526, GSM4560528, GSM4560533, GSM4560537, GSM4560538, GSM4560542, GSM4560544, GSM4560546, GSM4560547, GSM4560548, GSM4560550, GSM4560553, GSM4560555, GSM4560557, GSM4560560, GSM4560588, GSM4560589, GSM4560590, GSM4560611, GSM4560613, GSM4560615, GSM4560621, GSM4560625, GSM4560632, GSM4560665, GSM4560702, GSM4560727, GSM4560729, GSM4560736, GSM4560758, GSM5060523, GSM5060524, GSM5060526, GSM5060527, GSM5060529, GSM5060530, GSM5060531, GSM5060532, GSM5060541, GSM5060542, GSM5060543, GSM5060544, GSM5060545, GSM5060553, GSM5266441, GSM5266450, GSM5266461, GSM5333816, GSM5333828, GSM5333845, GSM5333851, GSM5333856, GSM5333857, GSM5333860, GSM5333864, GSM5333870, GSM5333875, GSM5333881, GSM5333888, GSM5333894, GSM5333899, GSM5333911, GSM5333915, GSM5333918, GSM5333924, GSM5333926, GSM5333928, GSM5333932, GSM5333948, GSM5333956, GSM5333962, GSM5333965, GSM5333979, GSM5333996, GSM5334026, GSM5334027, GSM5334037, GSM5334050, GSM5334052, GSM5334054, GSM5334058, GSM5334071, GSM5334083, GSM5334088, GSM5334093, GSM5334096, GSM5334102, GSM5334107, GSM5334113, GSM5334120, GSM5334132, GSM5334133, GSM5334141, GSM5334149, GSM5334152, GSM5334155, GSM5334156, GSM5334190, GSM5334192, GSM5334197, GSM5334211, GSM5334213, GSM5334220, GSM5334222, GSM5334228, GSM533885, GSM533898, GSM533899, GSM533900, GSM533901, GSM5583950, GSM5583962, GSM5583994, GSM5583998, GSM595426, GSM595432, GSM595443, GSM5965340, GSM5965353, GSM5965357, GSM5994471, GSM5994499, GSM6568328, GSM6568341, GSM6568349, GSM6568362, GSM6568367, GSM6568403, GSM6568445, GSM7296255, GSM7296256, GSM7296261, GSM7296267, GSM7296268, GSM7296269, GSM7296273, GSM7296278, GSM7296279, GSM7296282, GSM7296301, GSM806234, GSM806240, GSM806256, GSM806309, GSM806343, GSM806347, GSM806348, GSM806371, GSM806372, GSM806376, GSM806388, GSM806408, GSM806411, GSM806413, GSM862609, SRR393013"
"4","M5-Immune Cells","GSM1149948, GSM1149960, GSM1149963, GSM1149969, GSM1149970, GSM1149971, GSM1149978, GSM1149979, GSM1149987, GSM1150002, GSM1150020, GSM1150029, GSM1150039, GSM1150041, GSM1150044, GSM1150046, GSM1150049, GSM1150052, GSM1150060, GSM1150066, GSM1150078, GSM1150086, GSM1150090, GSM1150095, GSM1150099, GSM1150103, GSM1150105, GSM1150109, GSM1150112, GSM1150114, GSM1150115, GSM1150118, GSM1150120, GSM1150129, GSM1150137, GSM1150138, GSM1150140, GSM1150144, GSM1150145, GSM1150153, GSM1150160, GSM1150162, GSM1150168, GSM1150176, GSM1150182, GSM1150192, GSM1150205, GSM1150206, GSM1150226, GSM1150228, GSM1150243, GSM1150248, GSM1150249, GSM1150251, GSM1150252, GSM1150266, GSM1150286, GSM1150301, GSM1150307, GSM1150351, GSM1150358, GSM1150406, GSM1150418, GSM1150419, GSM1150421, GSM1150430, GSM1150433, GSM1150434, GSM1150444, GSM1150445, GSM1150462, GSM1150468, GSM1150486, GSM1150488, GSM1150492, GSM1150498, GSM1150515, GSM1150539, GSM1169991, GSM1169992, GSM1169993, GSM1170000, GSM1267268, GSM1302034, GSM1302037, GSM1302048, GSM1302052, GSM1302074, GSM134724, GSM134785, GSM1854183, GSM1888335, GSM1888337, GSM2149865, GSM2149868, GSM2149869, GSM2214002, GSM2433101, GSM2433103, GSM2433105, GSM2433108, GSM2433122, GSM2433125, GSM2433133, GSM2648742, GSM269749, GSM269750, GSM269751, GSM269754, GSM269755, GSM269757, GSM269758, GSM269781, GSM2700625, GSM2700629, GSM2978763, GSM2978782, GSM2978785, GSM2978797, GSM3541130, GSM3541192, GSM373884, GSM37413, GSM379318, GSM379320, GSM379322, GSM379324, GSM3963636, GSM3963645, GSM3963651, GSM3963672, GSM3963680, GSM3963681, GSM4560522, GSM4560534, GSM4560554, GSM4560556, GSM4560558, GSM4560565, GSM4560570, GSM4560574, GSM4560576, GSM4560609, GSM4560635, GSM4560639, GSM4560641, GSM4560651, GSM4560652, GSM4560653, GSM4560683, GSM4560693, GSM4560698, GSM4560704, GSM4560713, GSM4560714, GSM4560717, GSM4560728, GSM4560734, GSM4560738, GSM4560741, GSM4560744, GSM4560746, GSM4560749, GSM4560751, GSM4560756, GSM4560761, GSM4560763, GSM4560764, GSM4560766, GSM4560768, GSM4560770, GSM4560773, GSM4560783, GSM4560785, GSM4560787, GSM4560790, GSM5060514, GSM5060517, GSM5060524, GSM5060525, GSM5060549, GSM5060550, GSM5060552, GSM5060553, GSM5266437, GSM5266459, GSM5266461, GSM5266466, GSM5333815, GSM5333817, GSM5333819, GSM5333823, GSM5333832, GSM5333833, GSM5333835, GSM5333838, GSM5333852, GSM5333855, GSM5333866, GSM5333868, GSM5333869, GSM5333875, GSM5333877, GSM5333887, GSM5333892, GSM5333899, GSM5333901, GSM5333910, GSM5333914, GSM5333922, GSM5333923, GSM5333927, GSM5333939, GSM5333959, GSM5333970, GSM5333990, GSM5334009, GSM5334020, GSM5334035, GSM5334036, GSM5334045, GSM5334047, GSM5334049, GSM5334056, GSM5334057, GSM5334065, GSM5334068, GSM5334104, GSM5334109, GSM5334122, GSM5334128, GSM5334134, GSM5334152, GSM5334153, GSM5334170, GSM5334175, GSM5334176, GSM5334179, GSM5334181, GSM5334183, GSM5334187, GSM5334188, GSM5334189, GSM5334202, GSM5334205, GSM5334208, GSM5334214, GSM5334229, GSM5334230, GSM533882, GSM533889, GSM533890, GSM5583918, GSM5583986, GSM595407, GSM595417, GSM5965342, GSM5965347, GSM5965350, GSM5965355, GSM5965356, GSM5994475, GSM6568339, GSM6568346, GSM6568356, GSM6568387, GSM6568394, GSM6568428, GSM7296247, GSM7296270, GSM7296275, GSM7296282, GSM7296284, GSM7296285, GSM7296298, GSM806290, GSM806295, GSM806306, GSM806337, GSM806351, GSM806377, GSM806378, GSM806380, GSM806382, GSM806392, GSM806397, GSM806401, GSM806412, GSM806417"
"5","M8-Immune Cells_Fibrosis","GSM1149958, GSM1149968, GSM1149976, GSM1149982, GSM1149986, GSM1149996, GSM1149997, GSM1150008, GSM1150009, GSM1150010, GSM1150034, GSM1150039, GSM1150051, GSM1150067, GSM1150068, GSM1150072, GSM1150074, GSM1150084, GSM1150089, GSM1150091, GSM1150104, GSM1150106, GSM1150117, GSM1150152, GSM1150169, GSM1150177, GSM1150178, GSM1150181, GSM1150188, GSM1150191, GSM1150221, GSM1150224, GSM1150231, GSM1150244, GSM1150247, GSM1150255, GSM1150262, GSM1150280, GSM1150313, GSM1150375, GSM1150382, GSM1150390, GSM1150391, GSM1150395, GSM1150399, GSM1150425, GSM1150442, GSM1150446, GSM1150451, GSM1150453, GSM1150454, GSM1150461, GSM1150484, GSM1150495, GSM1150508, GSM1150513, GSM1150518, GSM1150521, GSM1150524, GSM1150525, GSM1150535, GSM1150536, GSM1150540, GSM1150547, GSM1169963, GSM1169993, GSM1170001, GSM1267263, GSM1302034, GSM1302040, GSM1302061, GSM1302064, GSM1302074, GSM1302076, GSM1854186, GSM1888329, GSM1888330, GSM2149851, GSM2149853, GSM2213995, GSM2433107, GSM2433110, GSM2433113, GSM2433115, GSM2433136, GSM2648758, GSM269754, GSM269771, GSM269782, GSM269786, GSM2700637, GSM2978752, GSM2978756, GSM2978764, GSM2978769, GSM2978777, GSM2978781, GSM3541168, GSM3541196, GSM373886, GSM37418, GSM37426, GSM379320, GSM379336, GSM3963658, GSM3963660, GSM3963661, GSM3963671, GSM3963673, GSM4560518, GSM4560519, GSM4560521, GSM4560533, GSM4560539, GSM4560546, GSM4560547, GSM4560559, GSM4560560, GSM4560587, GSM4560619, GSM4560655, GSM4560671, GSM4560696, GSM4560699, GSM4560713, GSM4560715, GSM4560731, GSM4560734, GSM4560746, GSM4560758, GSM4560767, GSM4560768, GSM4560773, GSM4560783, GSM4560785, GSM5060520, GSM5266433, GSM5266438, GSM5266439, GSM5266444, GSM5266447, GSM5266449, GSM5266452, GSM5333823, GSM5333828, GSM5333832, GSM5333838, GSM5333898, GSM5333899, GSM5333907, GSM5333909, GSM5333912, GSM5333913, GSM5333920, GSM5333947, GSM5333966, GSM5333973, GSM5333980, GSM5333983, GSM5333995, GSM5334003, GSM5334010, GSM5334014, GSM5334017, GSM5334042, GSM5334044, GSM5334051, GSM5334058, GSM5334059, GSM5334063, GSM5334070, GSM5334080, GSM5334083, GSM5334092, GSM5334112, GSM5334121, GSM5334128, GSM5334129, GSM5334132, GSM5334136, GSM5334143, GSM5334145, GSM5334148, GSM5334151, GSM5334152, GSM5334153, GSM5334159, GSM5334176, GSM5334186, GSM5334192, GSM5334216, GSM5334218, GSM5334232, GSM533897, GSM533902, GSM533907, GSM5583950, GSM5583990, GSM5583998, GSM595417, GSM595424, GSM595435, GSM5965334, GSM5965357, GSM5994495, GSM6568328, GSM6568331, GSM6568366, GSM6568416, GSM6568418, GSM6568447, GSM7296250, GSM7296254, GSM7296255, GSM7296260, GSM7296261, GSM7296299, GSM7296304, GSM806216, GSM806234, GSM806243, GSM806256, GSM806302, GSM806306, GSM806315, SRR393013, SRR393015"
